block,level,name,row_real,row,col,width,height,/
VIP,,17,4,4,27,1,1,
VIP,,18,4,4,26,1,1,
VIP,,19,4,4,25,1,1,
VIP,,20,4,4,24,1,1,
VIP,,21,4,4,23,1,1,
VIP,,22,4,4,21,1,1,
VIP,,23,4,4,20,1,1,
VIP,,24,4,4,19,1,1,
VIP,,25,4,4,18,1,1,
VIP,,26,4,4,17,1,1,
VIP,,27,4,4,16,1,1,
VIP,,28,4,4,15,1,1,
VIP,,29,4,4,14,1,1,
VIP,,30,4,4,13,1,1,
VIP,,31,4,4,12,1,1,
VIP,,32,4,4,11,1,1,
VIP,,33,4,4,10,1,1,
VIP,,34,4,4,9,1,1,
VIP,,35,4,4,8,1,1,
VIP,,36,4,4,7,1,1,
VIP,,37,4,4,6,1,1,
VIP,,38,4,4,5,1,1,
VIP,,39,4,4,4,1,1,
VIP,,40,4,4,3,1,1,
VIP,,41,4,4,2,1,1,
VIP,,42,4,4,1,1,1,
VIP,,01,5,5,43,1,1,
VIP,,02,5,5,42,1,1,
VIP,,03,5,5,41,1,1,
VIP,,04,5,5,40,1,1,
VIP,,05,5,5,39,1,1,
VIP,,06,5,5,38,1,1,
VIP,,07,5,5,37,1,1,
VIP,,08,5,5,36,1,1,
VIP,,09,5,5,35,1,1,
VIP,,10,5,5,34,1,1,
VIP,,11,5,5,33,1,1,
VIP,,12,5,5,32,1,1,
VIP,,13,5,5,31,1,1,
VIP,,14,5,5,30,1,1,
VIP,,15,5,5,29,1,1,
VIP,,16,5,5,28,1,1,
VIP,,17,5,5,27,1,1,
VIP,,18,5,5,26,1,1,
VIP,,19,5,5,25,1,1,
VIP,,20,5,5,24,1,1,
VIP,,21,5,5,23,1,1,
VIP,,22,5,5,21,1,1,
VIP,,23,5,5,20,1,1,
VIP,,24,5,5,19,1,1,
VIP,,25,5,5,18,1,1,
VIP,,26,5,5,17,1,1,
VIP,,27,5,5,16,1,1,
VIP,,28,5,5,15,1,1,
VIP,,29,5,5,14,1,1,
VIP,,30,5,5,13,1,1,
VIP,,31,5,5,12,1,1,
VIP,,32,5,5,11,1,1,
VIP,,33,5,5,10,1,1,
VIP,,34,5,5,9,1,1,
VIP,,35,5,5,8,1,1,
VIP,,36,5,5,7,1,1,
VIP,,37,5,5,6,1,1,
VIP,,38,5,5,5,1,1,
VIP,,39,5,5,4,1,1,
VIP,,40,5,5,3,1,1,
VIP,,41,5,5,2,1,1,
VIP,,42,5,5,1,1,1,
VIP,,01,6,6,43,1,1,
VIP,,02,6,6,42,1,1,
VIP,,03,6,6,41,1,1,
VIP,,04,6,6,40,1,1,
VIP,,05,6,6,39,1,1,
VIP,,06,6,6,38,1,1,
VIP,,07,6,6,37,1,1,
VIP,,08,6,6,36,1,1,
VIP,,09,6,6,35,1,1,
VIP,,10,6,6,34,1,1,
VIP,,11,6,6,33,1,1,
VIP,,12,6,6,32,1,1,
VIP,,13,6,6,31,1,1,
VIP,,14,6,6,30,1,1,
VIP,,15,6,6,29,1,1,
VIP,,16,6,6,28,1,1,
VIP,,17,6,6,27,1,1,
VIP,,18,6,6,26,1,1,
VIP,,19,6,6,25,1,1,
VIP,,20,6,6,24,1,1,
VIP,,21,6,6,23,1,1,
VIP,,22,6,6,21,1,1,
VIP,,23,6,6,20,1,1,
VIP,,24,6,6,19,1,1,
VIP,,25,6,6,18,1,1,
VIP,,26,6,6,17,1,1,
VIP,,27,6,6,16,1,1,
VIP,,28,6,6,15,1,1,
VIP,,29,6,6,14,1,1,
VIP,,30,6,6,13,1,1,
VIP,,31,6,6,12,1,1,
VIP,,32,6,6,11,1,1,
VIP,,33,6,6,10,1,1,
VIP,,34,6,6,9,1,1,
VIP,,35,6,6,8,1,1,
VIP,,36,6,6,7,1,1,
VIP,,37,6,6,6,1,1,
VIP,,38,6,6,5,1,1,
VIP,,39,6,6,4,1,1,
VIP,,40,6,6,3,1,1,
VIP,,41,6,6,2,1,1,
VIP,,42,6,6,1,1,1,
VIP,,01,7,7,43,1,1,
VIP,,02,7,7,42,1,1,
VIP,,03,7,7,41,1,1,
VIP,,04,7,7,40,1,1,
VIP,,05,7,7,39,1,1,
VIP,,06,7,7,38,1,1,
VIP,,07,7,7,37,1,1,
VIP,,08,7,7,36,1,1,
VIP,,09,7,7,35,1,1,
VIP,,10,7,7,34,1,1,
VIP,,11,7,7,33,1,1,
VIP,,12,7,7,32,1,1,
VIP,,13,7,7,31,1,1,
VIP,,14,7,7,30,1,1,
VIP,,15,7,7,29,1,1,
VIP,,16,7,7,28,1,1,
VIP,,17,7,7,27,1,1,
VIP,,18,7,7,26,1,1,
VIP,,19,7,7,25,1,1,
VIP,,20,7,7,24,1,1,
VIP,,21,7,7,23,1,1,
VIP,,22,7,7,21,1,1,
VIP,,23,7,7,20,1,1,
VIP,,24,7,7,19,1,1,
VIP,,25,7,7,18,1,1,
VIP,,26,7,7,17,1,1,
VIP,,27,7,7,16,1,1,
VIP,,28,7,7,15,1,1,
VIP,,29,7,7,14,1,1,
VIP,,30,7,7,13,1,1,
VIP,,31,7,7,12,1,1,
VIP,,32,7,7,11,1,1,
VIP,,33,7,7,10,1,1,
VIP,,34,7,7,9,1,1,
VIP,,35,7,7,8,1,1,
VIP,,36,7,7,7,1,1,
VIP,,37,7,7,6,1,1,
VIP,,38,7,7,5,1,1,
VIP,,39,7,7,4,1,1,
VIP,,40,7,7,3,1,1,
VIP,,41,7,7,2,1,1,
VIP,,42,7,7,1,1,1,
VIP,,01,8,8,43,1,1,
VIP,,02,8,8,42,1,1,
VIP,,03,8,8,41,1,1,
VIP,,04,8,8,40,1,1,
VIP,,05,8,8,39,1,1,
VIP,,06,8,8,38,1,1,
VIP,,07,8,8,37,1,1,
VIP,,08,8,8,36,1,1,
VIP,,09,8,8,35,1,1,
VIP,,10,8,8,34,1,1,
VIP,,11,8,8,33,1,1,
VIP,,12,8,8,32,1,1,
VIP,,13,8,8,31,1,1,
VIP,,14,8,8,30,1,1,
VIP,,15,8,8,29,1,1,
VIP,,16,8,8,28,1,1,
VIP,,17,8,8,27,1,1,
VIP,,18,8,8,26,1,1,
VIP,,19,8,8,25,1,1,
VIP,,20,8,8,24,1,1,
VIP,,21,8,8,23,1,1,
VIP,,22,8,8,21,1,1,
VIP,,23,8,8,20,1,1,
VIP,,24,8,8,19,1,1,
VIP,,25,8,8,18,1,1,
VIP,,26,8,8,17,1,1,
VIP,,27,8,8,16,1,1,
VIP,,28,8,8,15,1,1,
VIP,,29,8,8,14,1,1,
VIP,,30,8,8,13,1,1,
VIP,,31,8,8,12,1,1,
VIP,,32,8,8,11,1,1,
VIP,,33,8,8,10,1,1,
VIP,,34,8,8,9,1,1,
VIP,,35,8,8,8,1,1,
VIP,,36,8,8,7,1,1,
VIP,,37,8,8,6,1,1,
VIP,,38,8,8,5,1,1,
VIP,,39,8,8,4,1,1,
VIP,,40,8,8,3,1,1,
VIP,,41,8,8,2,1,1,
VIP,,42,8,8,1,1,1,
VIP,,01,9,9,43,1,1,
VIP,,02,9,9,42,1,1,
VIP,,03,9,9,41,1,1,
VIP,,04,9,9,40,1,1,
VIP,,05,9,9,39,1,1,
VIP,,06,9,9,38,1,1,
VIP,,07,9,9,37,1,1,
VIP,,08,9,9,36,1,1,
VIP,,09,9,9,35,1,1,
VIP,,10,9,9,34,1,1,
VIP,,11,9,9,33,1,1,
VIP,,12,9,9,32,1,1,
VIP,,13,9,9,31,1,1,
VIP,,14,9,9,30,1,1,
VIP,,15,9,9,29,1,1,
VIP,,16,9,9,28,1,1,
VIP,,17,9,9,27,1,1,
VIP,,18,9,9,26,1,1,
VIP,,19,9,9,25,1,1,
VIP,,20,9,9,24,1,1,
VIP,,21,9,9,23,1,1,
VIP,,22,9,9,21,1,1,
VIP,,23,9,9,20,1,1,
VIP,,24,9,9,19,1,1,
VIP,,25,9,9,18,1,1,
VIP,,26,9,9,17,1,1,
VIP,,27,9,9,16,1,1,
VIP,,28,9,9,15,1,1,
VIP,,29,9,9,14,1,1,
VIP,,30,9,9,13,1,1,
VIP,,31,9,9,12,1,1,
VIP,,32,9,9,11,1,1,
VIP,,33,9,9,10,1,1,
VIP,,34,9,9,9,1,1,
VIP,,35,9,9,8,1,1,
VIP,,36,9,9,7,1,1,
VIP,,37,9,9,6,1,1,
VIP,,38,9,9,5,1,1,
VIP,,39,9,9,4,1,1,
VIP,,40,9,9,3,1,1,
VIP,,41,9,9,2,1,1,
VIP,,42,9,9,1,1,1,
VIP,,01,10,10,43,1,1,
VIP,,02,10,10,42,1,1,
VIP,,03,10,10,41,1,1,
VIP,,04,10,10,40,1,1,
VIP,,05,10,10,39,1,1,
VIP,,06,10,10,38,1,1,
VIP,,07,10,10,37,1,1,
VIP,,08,10,10,36,1,1,
VIP,,09,10,10,35,1,1,
VIP,,10,10,10,34,1,1,
VIP,,11,10,10,33,1,1,
VIP,,12,10,10,32,1,1,
VIP,,13,10,10,31,1,1,
VIP,,14,10,10,30,1,1,
VIP,,15,10,10,29,1,1,
VIP,,16,10,10,28,1,1,
VIP,,17,10,10,27,1,1,
VIP,,18,10,10,26,1,1,
VIP,,19,10,10,25,1,1,
VIP,,20,10,10,24,1,1,
VIP,,21,10,10,23,1,1,
VIP,,22,10,10,21,1,1,
VIP,,23,10,10,20,1,1,
VIP,,24,10,10,19,1,1,
VIP,,25,10,10,18,1,1,
VIP,,26,10,10,17,1,1,
VIP,,27,10,10,16,1,1,
VIP,,28,10,10,15,1,1,
VIP,,29,10,10,14,1,1,
VIP,,30,10,10,13,1,1,
VIP,,31,10,10,12,1,1,
VIP,,32,10,10,11,1,1,
VIP,,33,10,10,10,1,1,
VIP,,34,10,10,9,1,1,
VIP,,35,10,10,8,1,1,
VIP,,36,10,10,7,1,1,
VIP,,37,10,10,6,1,1,
VIP,,38,10,10,5,1,1,
VIP,,39,10,10,4,1,1,
VIP,,40,10,10,3,1,1,
VIP,,41,10,10,2,1,1,
VIP,,42,10,10,1,1,1,
VIP,,01,11,11,43,1,1,
VIP,,02,11,11,42,1,1,
VIP,,03,11,11,41,1,1,
VIP,,04,11,11,40,1,1,
VIP,,05,11,11,39,1,1,
VIP,,06,11,11,38,1,1,
VIP,,07,11,11,37,1,1,
VIP,,08,11,11,36,1,1,
VIP,,09,11,11,35,1,1,
VIP,,10,11,11,34,1,1,
VIP,,11,11,11,33,1,1,
VIP,,12,11,11,32,1,1,
VIP,,13,11,11,31,1,1,
VIP,,14,11,11,30,1,1,
VIP,,15,11,11,29,1,1,
VIP,,16,11,11,28,1,1,
VIP,,17,11,11,27,1,1,
VIP,,18,11,11,26,1,1,
VIP,,19,11,11,25,1,1,
VIP,,20,11,11,24,1,1,
VIP,,21,11,11,23,1,1,
VIP,,22,11,11,21,1,1,
VIP,,23,11,11,20,1,1,
VIP,,24,11,11,19,1,1,
VIP,,25,11,11,18,1,1,
VIP,,26,11,11,17,1,1,
VIP,,27,11,11,16,1,1,
VIP,,28,11,11,15,1,1,
VIP,,29,11,11,14,1,1,
VIP,,30,11,11,13,1,1,
VIP,,31,11,11,12,1,1,
VIP,,32,11,11,11,1,1,
VIP,,33,11,11,10,1,1,
VIP,,34,11,11,9,1,1,
VIP,,35,11,11,8,1,1,
VIP,,36,11,11,7,1,1,
VIP,,37,11,11,6,1,1,
VIP,,38,11,11,5,1,1,
VIP,,39,11,11,4,1,1,
VIP,,40,11,11,3,1,1,
VIP,,41,11,11,2,1,1,
VIP,,42,11,11,1,1,1,
VIP,,01,12,12,43,1,1,
VIP,,02,12,12,42,1,1,
VIP,,03,12,12,41,1,1,
VIP,,04,12,12,40,1,1,
VIP,,05,12,12,39,1,1,
VIP,,06,12,12,38,1,1,
VIP,,07,12,12,37,1,1,
VIP,,08,12,12,36,1,1,
VIP,,09,12,12,35,1,1,
VIP,,10,12,12,34,1,1,
VIP,,11,12,12,33,1,1,
VIP,,12,12,12,32,1,1,
VIP,,13,12,12,31,1,1,
VIP,,14,12,12,30,1,1,
VIP,,15,12,12,29,1,1,
VIP,,16,12,12,28,1,1,
VIP,,17,12,12,27,1,1,
VIP,,18,12,12,26,1,1,
VIP,,19,12,12,25,1,1,
VIP,,20,12,12,24,1,1,
VIP,,21,12,12,23,1,1,
VIP,,22,12,12,21,1,1,
VIP,,23,12,12,20,1,1,
VIP,,24,12,12,19,1,1,
VIP,,25,12,12,18,1,1,
VIP,,26,12,12,17,1,1,
VIP,,27,12,12,16,1,1,
VIP,,28,12,12,15,1,1,
VIP,,29,12,12,14,1,1,
VIP,,30,12,12,13,1,1,
VIP,,31,12,12,12,1,1,
VIP,,32,12,12,11,1,1,
VIP,,33,12,12,10,1,1,
VIP,,34,12,12,9,1,1,
VIP,,35,12,12,8,1,1,
VIP,,36,12,12,7,1,1,
VIP,,37,12,12,6,1,1,
VIP,,38,12,12,5,1,1,
VIP,,39,12,12,4,1,1,
VIP,,40,12,12,3,1,1,
VIP,,41,12,12,2,1,1,
VIP,,42,12,12,1,1,1,
PRESS,,01,1,2,25,1,1,
PRESS,,02,1,2,24,1,1,
PRESS,,03,1,2,22,1,1,
PRESS,,04,1,2,21,1,1,
PRESS,,05,1,2,18,1,1,
PRESS,,06,1,2,17,1,1,
PRESS,,07,1,2,15,1,1,
PRESS,,08,1,2,14,1,1,
PRESS,,01,2,4,25,1,1,
PRESS,,02,2,4,24,1,1,
PRESS,,03,2,4,22,1,1,
PRESS,,04,2,4,21,1,1,
PRESS,,05,2,4,18,1,1,
PRESS,,06,2,4,17,1,1,
PRESS,,07,2,4,15,1,1,
PRESS,,08,2,4,14,1,1,
PRESS,,01,3,6,37,1,1,
PRESS,,02,3,6,36,1,1,
PRESS,,03,3,6,34,1,1,
PRESS,,04,3,6,33,1,1,
PRESS,,05,3,6,31,1,1,
PRESS,,06,3,6,30,1,1,
PRESS,,07,3,6,28,1,1,
PRESS,,08,3,6,27,1,1,
PRESS,,09,3,6,25,1,1,
PRESS,,10,3,6,24,1,1,
PRESS,,11,3,6,22,1,1,
PRESS,,12,3,6,21,1,1,
PRESS,,13,3,6,18,1,1,
PRESS,,14,3,6,17,1,1,
PRESS,,15,3,6,15,1,1,
PRESS,,16,3,6,14,1,1,
PRESS,,17,3,6,12,1,1,
PRESS,,18,3,6,11,1,1,
PRESS,,19,3,6,9,1,1,
PRESS,,20,3,6,8,1,1,
PRESS,,21,3,6,6,1,1,
PRESS,,22,3,6,5,1,1,
PRESS,,01,4,8,37,1,1,
PRESS,,02,4,8,36,1,1,
PRESS,,03,4,8,34,1,1,
PRESS,,04,4,8,33,1,1,
PRESS,,05,4,8,31,1,1,
PRESS,,06,4,8,30,1,1,
PRESS,,07,4,8,28,1,1,
PRESS,,08,4,8,27,1,1,
PRESS,,09,4,8,25,1,1,
PRESS,,10,4,8,24,1,1,
PRESS,,11,4,8,22,1,1,
PRESS,,12,4,8,21,1,1,
PRESS,,13,4,8,18,1,1,
PRESS,,14,4,8,17,1,1,
PRESS,,15,4,8,15,1,1,
PRESS,,16,4,8,14,1,1,
PRESS,,17,4,8,12,1,1,
PRESS,,18,4,8,11,1,1,
PRESS,,19,4,8,9,1,1,
PRESS,,20,4,8,8,1,1,
PRESS,,21,4,8,6,1,1,
PRESS,,22,4,8,5,1,1,
PRESS,,01,5,10,37,1,1,
PRESS,,02,5,10,36,1,1,
PRESS,,03,5,10,34,1,1,
PRESS,,04,5,10,33,1,1,
PRESS,,05,5,10,31,1,1,
PRESS,,06,5,10,30,1,1,
PRESS,,07,5,10,28,1,1,
PRESS,,08,5,10,27,1,1,
PRESS,,09,5,10,25,1,1,
PRESS,,10,5,10,24,1,1,
PRESS,,11,5,10,22,1,1,
PRESS,,12,5,10,21,1,1,
PRESS,,13,5,10,18,1,1,
PRESS,,14,5,10,17,1,1,
PRESS,,15,5,10,15,1,1,
PRESS,,16,5,10,14,1,1,
PRESS,,17,5,10,12,1,1,
PRESS,,18,5,10,11,1,1,
PRESS,,19,5,10,9,1,1,
PRESS,,20,5,10,8,1,1,
PRESS,,21,5,10,6,1,1,
PRESS,,22,5,10,5,1,1,
PRESS,,23,5,10,3,1,1,
PRESS,,24,5,10,2,1,1,
PRESS,,01,6,12,37,1,1,
PRESS,,02,6,12,36,1,1,
PRESS,,03,6,12,34,1,1,
PRESS,,04,6,12,33,1,1,
PRESS,,05,6,12,31,1,1,
PRESS,,06,6,12,30,1,1,
PRESS,,07,6,12,28,1,1,
PRESS,,08,6,12,27,1,1,
PRESS,,09,6,12,25,1,1,
PRESS,,10,6,12,24,1,1,
PRESS,,11,6,12,22,1,1,
PRESS,,12,6,12,21,1,1,
PRESS,,13,6,12,18,1,1,
PRESS,,14,6,12,17,1,1,
PRESS,,15,6,12,15,1,1,
PRESS,,16,6,12,14,1,1,
PRESS,,17,6,12,12,1,1,
PRESS,,18,6,12,11,1,1,
PRESS,,19,6,12,9,1,1,
PRESS,,20,6,12,8,1,1,
PRESS,,21,6,12,6,1,1,
PRESS,,22,6,12,5,1,1,
PRESS,,23,6,12,3,1,1,
PRESS,,24,6,12,2,1,1,
PRESS,,01,7,14,37,1,1,
PRESS,,02,7,14,36,1,1,
PRESS,,03,7,14,34,1,1,
PRESS,,04,7,14,33,1,1,
PRESS,,05,7,14,31,1,1,
PRESS,,06,7,14,30,1,1,
PRESS,,07,7,14,28,1,1,
PRESS,,08,7,14,27,1,1,
PRESS,,09,7,14,25,1,1,
PRESS,,10,7,14,24,1,1,
PRESS,,11,7,14,22,1,1,
PRESS,,12,7,14,21,1,1,
PRESS,,13,7,14,18,1,1,
PRESS,,14,7,14,17,1,1,
PRESS,,15,7,14,15,1,1,
PRESS,,16,7,14,14,1,1,
PRESS,,17,7,14,12,1,1,
PRESS,,18,7,14,11,1,1,
PRESS,,19,7,14,9,1,1,
PRESS,,20,7,14,8,1,1,
PRESS,,21,7,14,6,1,1,
PRESS,,22,7,14,5,1,1,
PRESS,,23,7,14,3,1,1,
PRESS,,24,7,14,2,1,1,
PRESS,,01,8,16,38,1,1,
PRESS,,02,8,16,37,1,1,
PRESS,,03,8,16,36,1,1,
PRESS,,04,8,16,35,1,1,
PRESS,,05,8,16,34,1,1,
PRESS,,06,8,16,33,1,1,
PRESS,,07,8,16,32,1,1,
PRESS,,08,8,16,31,1,1,
PRESS,,09,8,16,30,1,1,
PRESS,,10,8,16,29,1,1,
PRESS,,11,8,16,28,1,1,
PRESS,,12,8,16,27,1,1,
PRESS,,13,8,16,26,1,1,
PRESS,,14,8,16,25,1,1,
PRESS,,15,8,16,24,1,1,
PRESS,,16,8,16,23,1,1,
PRESS,,17,8,16,22,1,1,
PRESS,,18,8,16,21,1,1,
PRESS,,19,8,16,18,1,1,
PRESS,,20,8,16,17,1,1,
PRESS,,21,8,16,16,1,1,
PRESS,,22,8,16,15,1,1,
PRESS,,23,8,16,14,1,1,
PRESS,,24,8,16,13,1,1,
PRESS,,25,8,16,12,1,1,
PRESS,,26,8,16,11,1,1,
PRESS,,27,8,16,10,1,1,
PRESS,,28,8,16,9,1,1,
PRESS,,29,8,16,8,1,1,
PRESS,,30,8,16,7,1,1,
PRESS,,31,8,16,6,1,1,
PRESS,,32,8,16,5,1,1,
PRESS,,33,8,16,4,1,1,
PRESS,,34,8,16,3,1,1,
PRESS,,35,8,16,2,1,1,
PRESS,,36,8,16,1,1,1,
PRESS,,01,9,18,38,1,1,
PRESS,,02,9,18,37,1,1,
PRESS,,03,9,18,36,1,1,
PRESS,,04,9,18,35,1,1,
PRESS,,05,9,18,34,1,1,
PRESS,,06,9,18,33,1,1,
PRESS,,07,9,18,32,1,1,
PRESS,,08,9,18,31,1,1,
PRESS,,09,9,18,30,1,1,
PRESS,,10,9,18,29,1,1,
PRESS,,11,9,18,28,1,1,
PRESS,,12,9,18,27,1,1,
PRESS,,13,9,18,26,1,1,
PRESS,,14,9,18,25,1,1,
PRESS,,15,9,18,24,1,1,
PRESS,,16,9,18,23,1,1,
PRESS,,17,9,18,22,1,1,
PRESS,,18,9,18,21,1,1,
PRESS,,19,9,18,18,1,1,
PRESS,,20,9,18,17,1,1,
PRESS,,21,9,18,16,1,1,
PRESS,,22,9,18,15,1,1,
PRESS,,23,9,18,14,1,1,
PRESS,,24,9,18,13,1,1,
PRESS,,25,9,18,12,1,1,
PRESS,,26,9,18,11,1,1,
PRESS,,27,9,18,10,1,1,
PRESS,,28,9,18,9,1,1,
PRESS,,29,9,18,8,1,1,
PRESS,,30,9,18,7,1,1,
PRESS,,31,9,18,6,1,1,
PRESS,,32,9,18,5,1,1,
PRESS,,33,9,18,4,1,1,
PRESS,,34,9,18,3,1,1,
PRESS,,35,9,18,2,1,1,
PRESS,,36,9,18,1,1,1,
PRESS,,01,10,20,38,1,1,
PRESS,,02,10,20,37,1,1,
PRESS,,03,10,20,36,1,1,
PRESS,,04,10,20,35,1,1,
PRESS,,05,10,20,34,1,1,
PRESS,,06,10,20,33,1,1,
PRESS,,07,10,20,32,1,1,
PRESS,,08,10,20,31,1,1,
PRESS,,09,10,20,30,1,1,
PRESS,,10,10,20,29,1,1,
PRESS,,11,10,20,28,1,1,
PRESS,,12,10,20,27,1,1,
PRESS,,13,10,20,26,1,1,
PRESS,,14,10,20,25,1,1,
PRESS,,15,10,20,24,1,1,
PRESS,,16,10,20,23,1,1,
PRESS,,17,10,20,22,1,1,
PRESS,,18,10,20,21,1,1,
PRESS,,19,10,20,18,1,1,
PRESS,,20,10,20,17,1,1,
PRESS,,21,10,20,16,1,1,
PRESS,,22,10,20,15,1,1,
PRESS,,23,10,20,14,1,1,
PRESS,,24,10,20,13,1,1,
PRESS,,25,10,20,12,1,1,
PRESS,,26,10,20,11,1,1,
PRESS,,27,10,20,10,1,1,
PRESS,,28,10,20,9,1,1,
PRESS,,29,10,20,8,1,1,
PRESS,,30,10,20,7,1,1,
PRESS,,31,10,20,6,1,1,
PRESS,,32,10,20,5,1,1,
PRESS,,33,10,20,4,1,1,
PRESS,,34,10,20,3,1,1,
PRESS,,35,10,20,2,1,1,
PRESS,,36,10,20,1,1,1,
PRESS,,01,11,22,38,1,1,
PRESS,,02,11,22,37,1,1,
PRESS,,03,11,22,36,1,1,
PRESS,,04,11,22,35,1,1,
PRESS,,05,11,22,34,1,1,
PRESS,,06,11,22,33,1,1,
PRESS,,07,11,22,32,1,1,
PRESS,,08,11,22,31,1,1,
PRESS,,09,11,22,30,1,1,
PRESS,,10,11,22,29,1,1,
PRESS,,11,11,22,28,1,1,
PRESS,,12,11,22,27,1,1,
PRESS,,13,11,22,26,1,1,
PRESS,,14,11,22,25,1,1,
PRESS,,15,11,22,24,1,1,
PRESS,,16,11,22,23,1,1,
PRESS,,17,11,22,22,1,1,
